"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test login failures with invalid credentials and locked out user","1068","test_sauce_demo_negative_login[chromium-locked_out_user-wrong_password-Epic sadface: Username and password do not match any user in this service]","tests","Sun Mar 02 15:47:36 GMT 2025","passed","Sun Mar 02 15:47:37 GMT 2025","","test_negative_scenarios","",""
"","14055","test_check[chromium]","","Sun Mar 02 15:46:42 GMT 2025","passed","Sun Mar 02 15:46:56 GMT 2025","","test_check","",""
"","2680","test_type_text_into_input[chromium]","","Sun Mar 02 15:47:22 GMT 2025","passed","Sun Mar 02 15:47:25 GMT 2025","","test_type_text_into_input","",""
"Test login failures with invalid credentials and locked out user","1169","test_sauce_demo_negative_login[chromium-locked_out_user-secret_sauce-Epic sadface: Sorry, this user has been locked out.]","tests","Sun Mar 02 15:47:35 GMT 2025","passed","Sun Mar 02 15:47:36 GMT 2025","","test_negative_scenarios","",""
"Test adding multiple items to cart and verifying cart badge count","2593","test_added_items[chromium]","tests","Sun Mar 02 15:47:38 GMT 2025","passed","Sun Mar 02 15:47:40 GMT 2025","","test_number_of_added_items","",""
"","2401","test_has_title[chromium]","","Sun Mar 02 15:46:58 GMT 2025","passed","Sun Mar 02 15:47:00 GMT 2025","","test_example","",""
"","2716","test_get_started_link[chromium]","","Sun Mar 02 15:47:00 GMT 2025","passed","Sun Mar 02 15:47:03 GMT 2025","","test_example","",""
"Test successful login with different valid user credentials","6073","test_login_with_success[chromium-performance_glitch_user-secret_sauce]","tests","Sun Mar 02 15:47:42 GMT 2025","passed","Sun Mar 02 15:47:48 GMT 2025","","test_positive_scenarios","",""
"","8818","test_type_text[chromium]","","Sun Mar 02 15:47:13 GMT 2025","passed","Sun Mar 02 15:47:22 GMT 2025","","test_type_text","",""
"","1493","test_click[chromium]","","Sun Mar 02 15:46:56 GMT 2025","passed","Sun Mar 02 15:46:57 GMT 2025","","test_click","",""
"","9310","test_select[chromium]","","Sun Mar 02 15:47:04 GMT 2025","passed","Sun Mar 02 15:47:13 GMT 2025","","test_select","",""
"","5110","test_example[chromium]","","Sun Mar 02 15:47:25 GMT 2025","passed","Sun Mar 02 15:47:30 GMT 2025","","test_with_codegen","",""
"Test successful login with different valid user credentials","1211","test_login_with_success[chromium-error_user-secret_sauce]","tests","Sun Mar 02 15:47:48 GMT 2025","passed","Sun Mar 02 15:47:49 GMT 2025","","test_positive_scenarios","",""
"Test successful login with different valid user credentials","1100","test_login_with_success[chromium-problem_user-secret_sauce]","tests","Sun Mar 02 15:47:50 GMT 2025","passed","Sun Mar 02 15:47:51 GMT 2025","","test_positive_scenarios","",""
"Test successful login with different valid user credentials","1075","test_login_with_success[chromium-standard_user-secret_sauce]","tests","Sun Mar 02 15:47:40 GMT 2025","passed","Sun Mar 02 15:47:42 GMT 2025","","test_positive_scenarios","",""
"Test complete end-to-end purchase flow from login to checkout","4072","test_end_2_end_scenario[chromium]","tests","Sun Mar 02 15:47:31 GMT 2025","passed","Sun Mar 02 15:47:35 GMT 2025","","test_end_2_end_scenario","",""
"Test successful login with different valid user credentials","1117","test_login_with_success[chromium-visual_user-secret_sauce]","tests","Sun Mar 02 15:47:51 GMT 2025","passed","Sun Mar 02 15:47:52 GMT 2025","","test_positive_scenarios","",""
